Height,Weight,Age,Sex,Hair Color,Eye Color,Blood Type,Health,Ethnicity,Muscle mass distribution
173,98,79,Female,Brown,Blue,A-,Hereditary Diseases Genetic,European American,0.46
177,92,49,Female,Black,Black,B-,Too Healthy,Greek,0.48
193,95,48,Female,Brown,Green,AB-,Deficiency Diseases,Zulu,0.43
182,89,17,Male,Black,Green,O-,Hereditary Diseases Genetic,Danish,0.34
169,89,32,Male,White,Blue,O-,Hereditary Diseases Non-Genetic,European American,0.49
176,83,77,Female,Brown,Black,AB+,Healthy,Somali,0.39
171,69,37,Female,White,Blue,O-,Too Healthy,Basque,0.49
194,78,23,Male,Black,Green,O+,Healthy,Danish,0.32
176,71,31,Female,White,Blue,B-,Healthy,Danish,0.51
193,73,71,Male,White,Brown,O+,Hereditary Diseases Genetic,Xhosa,0.3
176,74,84,Female,White,Black,O-,physiological diseases,Afro-Colombian,0.41
186,76,66,Male,Black,Brown,O+,Deficiency Diseases,Mexican,0.42
175,95,53,Male,Black,Black,O-,Hereditary Diseases Non-Genetic,Korean,0.33
184,90,47,Male,Brown,Green,A-,Hereditary Diseases Genetic,Micronesian,0.48
187,86,45,Male,Blond,Brown,A-,Hereditary Diseases Genetic,Berber,0.49
170,110,56,Female,Brown,Black,B+,Too Healthy,Bengali,0.38
165,82,30,Male,Black,Green,B-,Hereditary Diseases Non-Genetic,Cuban,0.38
165,99,26,Female,Brown,Brown,O+,Hereditary Diseases Genetic,Greek,0.33
165,105,70,Female,White,Green,A-,Healthy,Mestizo,0.43
185,82,25,Male,Blond,Green,B-,Healthy,Oromo,0.41
175,85,16,Male,Black,Black,B-,Hereditary Diseases Genetic,Ashkenazi Jewish,0.39
192,76,43,Female,Black,Black,B+,Too Healthy,Micronesian,0.33
189,105,67,Male,Blond,Black,O-,Too Healthy,Ukrainian,0.51
189,80,19,Male,White,Green,A+,Too Healthy,Ashkenazi Jewish,0.49
171,91,49,Male,White,Brown,A-,Deficiency Diseases,French,0.4
180,73,26,Male,Black,Green,O+,Too Healthy,Hutu,0.51
187,85,24,Male,Black,Black,O-,O-,Serbian,0.36
167,87,46,Female,Blond,Green,AB-,Hereditary Diseases Non-Genetic,White Latin American,0.37
183,87,83,Female,White,Brown,B-,Infectious Disease,Arab (Middle Eastern),0.38
185,92,38,Female,Blond,Blue,A+,physiological diseases,Hazara,0.48
167,65,61,Female,Blond,Green,O+,Hereditary Diseases Non-Genetic,Dinka,0.46
167,104,18,Female,White,Black,AB-,Too Healthy,Czech,0.43
180,65,73,Female,Black,Brown,A+,Hereditary Diseases Genetic,Hutu,0.34
188,78,63,Female,White,Black,AB+,Healthy,Quechua,0.32
188,92,54,Female,Blond,Blue,O-,O-,Tibetan,0.35
179,107,37,Male,Brown,Black,A-,Deficiency Diseases,Latino,0.46
171,77,25,Female,Black,Green,B+,Infectious Disease,French,0.42
195,89,58,Female,White,Blue,B-,Hereditary Diseases Non-Genetic,Italian,0.37
192,100,69,Female,White,Green,A-,physiological diseases,Punjabi,0.45
177,102,51,Male,Black,Green,O-,Infectious Disease,Inuit,0.38
173,104,48,Male,Brown,Black,A+,physiological diseases,Malay,0.33
169,84,37,Male,Brown,Green,A+,O-,Mestizo,0.51
191,80,75,Male,Blond,Black,O+,Hereditary Diseases Non-Genetic,Han Chinese,0.44
189,81,48,Female,Brown,Blue,O+,Deficiency Diseases,Inuit,0.42
179,108,46,Male,White,Blue,B-,O-,Arab,0.37
179,89,44,Male,Black,Green,A-,Hereditary Diseases Non-Genetic,Uyghur,0.39
168,90,37,Female,Black,Brown,B+,Healthy,Thai,0.3
168,74,17,Female,Black,Green,O-,Infectious Disease,Roma,0.5
195,98,88,Male,Brown,Green,A+,Hereditary Diseases Genetic,Amhara,0.41
187,92,41,Female,Black,Black,O+,Healthy,Tutsi,0.48
169,101,35,Male,Blond,Brown,B-,O-,Hutu,0.55
177,107,66,Male,Brown,Green,B+,Healthy,European American,0.5
167,92,79,Female,White,Green,A+,Infectious Disease,Hawaiian,0.49
195,76,49,Male,White,Black,A+,Deficiency Diseases,White American,0.56
169,99,46,Male,White,Brown,O-,Hereditary Diseases Genetic,White Latin American,0.4
191,68,67,Female,White,Black,O-,Hereditary Diseases Non-Genetic,Arab,0.53
190,103,75,Female,White,Blue,O-,O-,Turkish,0.44
167,75,71,Male,Black,Brown,B-,Healthy,White Latin American,0.46
184,66,22,Male,Black,Blue,O-,Too Healthy,Berber,0.33
177,83,34,Male,Blond,Blue,O-,Too Healthy,Indigenous South American,0.49
173,73,15,Female,Black,Brown,AB-,O-,Somali,0.33
193,100,68,Male,Brown,Blue,A+,Hereditary Diseases Non-Genetic,Berber,0.4
181,87,88,Male,White,Green,O-,Infectious Disease,Italian,0.42
178,75,70,Female,Blond,Green,AB+,Infectious Disease,Bengali,0.51
189,93,61,Female,Black,Green,O-,Deficiency Diseases,Punjabi,0.54
171,110,77,Female,Brown,Black,AB+,Too Healthy,Fijian,0.34
187,91,63,Female,White,Black,AB+,Hereditary Diseases Genetic,Dinka,0.48
194,75,45,Male,Brown,Black,B+,Hereditary Diseases Non-Genetic,Cherokee,0.34
192,75,61,Female,Black,Blue,AB-,Deficiency Diseases,Tutsi,0.48
180,88,80,Female,Brown,Black,AB-,physiological diseases,Bengali,0.46
188,106,17,Female,Blond,Black,AB-,Deficiency Diseases,White Latin American,0.55
178,70,48,Female,Black,Brown,A-,physiological diseases,Dinka,0.56
179,84,52,Male,Brown,Green,AB-,Deficiency Diseases,Tongan,0.48
172,66,70,Male,Black,Black,AB-,Hereditary Diseases Non-Genetic,Norwegian,0.35
172,67,89,Male,Blond,Black,A-,Hereditary Diseases Genetic,Turkish,0.52
170,82,90,Male,Blond,Black,A+,Healthy,Hazara,0.45
194,77,56,Male,Black,Blue,AB+,Too Healthy,Navajo,0.52
192,109,28,Female,Brown,Green,B-,Deficiency Diseases,Mapuche,0.39
188,73,59,Male,Brown,Blue,B-,Hereditary Diseases Non-Genetic,Aboriginal Australian,0.56
184,75,19,Male,Black,Green,O+,physiological diseases,Igbo,0.48
169,110,39,Female,Blond,Black,O-,Too Healthy,Xhosa,0.49
186,96,28,Female,Black,Green,AB-,Too Healthy,Tibetan,0.47
173,72,22,Female,Black,Black,AB+,Hereditary Diseases Genetic,Czech,0.55
169,91,48,Female,Blond,Green,A-,Hereditary Diseases Genetic,French,0.42
189,69,52,Female,Blond,Blue,B+,O-,Fijian,0.55
185,80,79,Female,Blond,Black,B-,Infectious Disease,Hawaiian,0.47
169,87,35,Male,Black,Black,AB-,Deficiency Diseases,Māori,0.33
181,68,73,Female,Brown,Green,A+,Hereditary Diseases Genetic,Ukrainian,0.45
168,83,65,Female,Brown,Black,AB+,Hereditary Diseases Genetic,Aymara,0.53
181,90,19,Male,Blond,Brown,O+,Too Healthy,Tamil,0.53
189,85,75,Female,Blond,Black,A+,O-,Afro-Colombian,0.52
177,78,78,Female,White,Blue,B-,Deficiency Diseases,Roma,0.34
170,78,53,Female,White,Green,AB+,Deficiency Diseases,English,0.39
176,68,21,Female,Blond,Black,B-,Too Healthy,Basque,0.44
195,65,16,Male,Blond,Blue,O+,Too Healthy,Turkish,0.38
192,65,90,Female,White,Green,AB+,Deficiency Diseases,Kurdish,0.49
195,81,20,Female,Brown,Brown,AB+,Infectious Disease,Uyghur,0.35
168,107,17,Female,Black,Blue,AB+,Too Healthy,Cuban,0.53
193,101,15,Female,Black,Brown,A-,O-,Mapuche,0.51
184,94,42,Female,Black,Blue,AB-,Healthy,Punjabi,0.41
189,91,21,Female,Blond,Blue,O+,O-,Afro-Brazilian,0.45
195,80,83,Male,Blond,Brown,B-,physiological diseases,Papua New Guinean,0.32
181,100,24,Male,Brown,Black,AB+,physiological diseases,Czech,0.45
193,85,29,Female,Black,Green,B-,Deficiency Diseases,Mapuche,0.52
173,110,38,Female,White,Brown,A+,O-,Berber,0.36
182,98,38,Female,White,Black,AB+,Healthy,Ashkenazi Jewish,0.49
192,91,88,Female,Blond,Green,A+,Deficiency Diseases,Sindhi,0.31
185,92,33,Male,Blond,Blue,A-,Infectious Disease,Swedish,0.34
191,86,62,Female,White,Blue,AB-,Hereditary Diseases Genetic,Basque,0.5
190,91,40,Female,White,Black,B+,Hereditary Diseases Genetic,Berber,0.55
171,98,26,Female,Brown,Black,O-,Deficiency Diseases,Aboriginal Australian,0.42
169,70,19,Male,Blond,Brown,B+,O-,Native American,0.53
187,80,54,Female,Black,Black,B-,Infectious Disease,Mapuche,0.48
192,66,52,Female,Blond,Brown,B+,Hereditary Diseases Genetic,Afro-Colombian,0.33
191,93,62,Female,Brown,Blue,B+,physiological diseases,African American,0.31
167,98,17,Female,White,Brown,O+,Deficiency Diseases,Swedish,0.36
183,67,25,Male,Brown,Black,B+,Hereditary Diseases Non-Genetic,European American,0.55
185,104,78,Female,Blond,Blue,AB+,Too Healthy,Afro-Colombian,0.49
176,71,68,Male,Brown,Brown,AB+,Too Healthy,Zulu,0.43
188,81,26,Male,Blond,Black,O+,Infectious Disease,Puerto Rican,0.4
193,88,84,Female,Blond,Green,O+,Too Healthy,African American,0.42
166,101,22,Male,Blond,Blue,AB-,Deficiency Diseases,Cuban,0.5
172,95,25,Male,Black,Brown,O-,Healthy,Mexican,0.46
171,66,29,Male,Black,Brown,B+,Hereditary Diseases Genetic,Igbo,0.32
174,77,45,Female,Blond,Green,AB+,Too Healthy,Cuban,0.42
189,78,59,Male,Blond,Blue,AB-,Too Healthy,Tajik,0.48
181,107,29,Female,Black,Green,A-,Too Healthy,Arab (Middle Eastern),0.32
169,75,54,Female,Brown,Green,B+,Hereditary Diseases Genetic,Persian,0.34
172,108,77,Male,White,Green,O+,Too Healthy,Serbian,0.3
187,109,49,Male,Blond,Black,AB-,Hereditary Diseases Non-Genetic,Indigenous South American,0.35
177,110,44,Male,White,Black,A+,Deficiency Diseases,Norwegian,0.46
186,95,85,Male,Blond,Brown,AB+,Healthy,Dinka,0.49
173,93,87,Male,Black,Blue,A+,Healthy,Russian,0.52
179,109,27,Male,Blond,Brown,A-,Hereditary Diseases Genetic,Norwegian,0.36
191,91,30,Female,White,Blue,AB+,physiological diseases,Japanese,0.43
179,94,65,Male,Blond,Blue,A-,Hereditary Diseases Genetic,Malay,0.5
167,104,72,Female,Brown,Green,AB+,Hereditary Diseases Non-Genetic,Serbian,0.33
181,102,29,Female,Black,Brown,B-,O-,European American,0.36
192,90,56,Male,Brown,Blue,AB+,Healthy,Sindhi,0.37
184,76,41,Male,White,Black,O-,Healthy,White Latin American,0.5
190,107,52,Male,Black,Brown,AB-,Deficiency Diseases,English,0.5
190,72,32,Female,Black,Brown,A-,Infectious Disease,German,0.39
192,94,24,Female,Brown,Black,B+,Deficiency Diseases,Serbian,0.53
168,91,77,Male,Blond,Green,AB-,Hereditary Diseases Non-Genetic,Sioux,0.37
178,75,18,Male,Black,Green,O-,physiological diseases,Serbian,0.39
177,92,36,Female,Black,Green,O+,Deficiency Diseases,Yoruba,0.43
192,107,20,Female,Blond,Green,B-,Hereditary Diseases Non-Genetic,Mongolian,0.36
165,88,73,Male,White,Blue,B+,Healthy,Hausa,0.42
170,104,73,Female,Brown,Brown,AB-,Healthy,White Latin American,0.32
168,73,32,Male,White,Brown,B+,Deficiency Diseases,Māori,0.43
176,95,27,Male,White,Brown,A+,physiological diseases,Malay,0.51
179,72,57,Female,White,Black,O+,Infectious Disease,Somali,0.39
167,94,72,Female,White,Black,B+,Healthy,Malay,0.46
187,75,59,Male,Brown,Green,AB-,Too Healthy,Latino,0.45
192,103,82,Female,White,Blue,AB+,Hereditary Diseases Non-Genetic,Japanese,0.42
165,99,88,Male,White,Green,AB-,Hereditary Diseases Non-Genetic,Igbo,0.47
168,109,34,Male,Blond,Black,B-,O-,Hawaiian,0.49
184,77,34,Male,Black,Black,O+,Too Healthy,Mestizo,0.53
178,66,56,Male,White,Brown,B+,Too Healthy,Somali,0.52
192,71,36,Male,Black,Blue,B-,Too Healthy,Hausa,0.38
172,105,78,Female,White,Blue,B+,Hereditary Diseases Non-Genetic,Norwegian,0.32
191,76,86,Female,Brown,Green,A+,physiological diseases,English,0.51
174,65,75,Male,Blond,Green,O+,Too Healthy,Mexican,0.35
188,71,83,Male,Brown,Green,AB+,Too Healthy,Filipino,0.4
167,68,18,Male,Brown,Blue,B-,Infectious Disease,Basque,0.46
185,102,60,Female,Black,Blue,A+,Infectious Disease,Basque,0.35
175,106,32,Female,Black,Green,O-,O-,Hutu,0.4
185,106,16,Female,White,Blue,A+,Hereditary Diseases Genetic,Mexican,0.46
183,109,56,Male,White,Blue,B-,physiological diseases,English,0.32
169,106,28,Male,Black,Black,A-,physiological diseases,Puerto Rican,0.53
192,66,61,Female,White,Black,A+,Hereditary Diseases Non-Genetic,Aymara,0.34
173,110,15,Female,Brown,Blue,AB-,Deficiency Diseases,Greek,0.52
183,85,35,Female,White,Brown,A-,Deficiency Diseases,Cherokee,0.36
189,92,29,Male,Black,Black,AB+,Infectious Disease,Uyghur,0.44
195,92,33,Female,Brown,Brown,A+,Hereditary Diseases Non-Genetic,Filipino,0.45
165,94,84,Female,Brown,Green,A+,Deficiency Diseases,Malay,0.33
178,81,52,Male,Black,Green,AB-,Deficiency Diseases,Cuban,0.44
182,76,47,Female,Brown,Brown,A-,Deficiency Diseases,Roma,0.34
195,77,46,Female,White,Black,A+,O-,Sephardic Jewish,0.37
179,66,47,Male,Black,Blue,O+,O-,Navajo,0.39
176,100,53,Male,Blond,Black,AB+,Deficiency Diseases,Ashkenazi Jewish,0.51
185,93,63,Female,White,Black,A-,Infectious Disease,Ashkenazi Jewish,0.41
184,80,19,Male,Black,Green,O-,Too Healthy,Micronesian,0.33
171,110,29,Male,White,Brown,O+,Hereditary Diseases Non-Genetic,Ukrainian,0.39
171,106,23,Female,Brown,Brown,O-,O-,Norwegian,0.35
187,96,86,Male,Brown,Black,B+,Deficiency Diseases,Spanish,0.45
172,92,75,Male,White,Blue,AB+,Healthy,Inuit,0.33
189,93,35,Male,Brown,Black,B-,Hereditary Diseases Genetic,Afro-Caribbean,0.31
179,105,54,Male,Brown,Brown,B-,Healthy,Dinka,0.31
167,96,34,Male,Blond,Green,A-,Hereditary Diseases Non-Genetic,British,0.56
195,92,49,Male,Brown,Brown,B+,Healthy,Native American,0.53
188,95,17,Male,White,Green,O-,Deficiency Diseases,Punjabi,0.44
178,84,90,Male,Blond,Blue,B+,Healthy,Yoruba,0.43
183,86,74,Male,White,Green,O-,Hereditary Diseases Non-Genetic,Igbo,0.38
175,81,70,Female,Brown,Black,B+,Deficiency Diseases,Native American,0.47
193,107,75,Female,Brown,Black,A-,Hereditary Diseases Non-Genetic,Xhosa,0.38
178,87,29,Male,Black,Blue,AB+,Infectious Disease,Punjabi,0.46
179,99,33,Male,Brown,Blue,B-,Hereditary Diseases Non-Genetic,White American,0.44
176,75,48,Female,White,Blue,O-,O-,Russian,0.43
176,82,21,Male,Black,Green,B+,Too Healthy,White Latin American,0.55
179,79,71,Male,White,Black,A-,Deficiency Diseases,European American,0.42
190,105,70,Female,White,Black,B-,Hereditary Diseases Non-Genetic,Cuban,0.5
168,69,81,Female,White,Blue,AB-,Deficiency Diseases,Xhosa,0.36
193,102,71,Female,Blond,Green,A-,Hereditary Diseases Non-Genetic,Norwegian,0.41
186,108,43,Female,White,Black,AB-,O-,Turkish,0.48
183,75,79,Male,White,Blue,B-,physiological diseases,Oromo,0.52
167,101,62,Male,Brown,Brown,B-,Infectious Disease,Arab,0.52
183,89,72,Male,Brown,Black,B-,Too Healthy,Afro-Colombian,0.49
171,101,28,Female,Brown,Brown,O+,Too Healthy,Fijian,0.49
166,105,42,Female,Black,Brown,O+,Too Healthy,Xhosa,0.31
190,96,25,Female,Blond,Blue,B-,physiological diseases,Ashkenazi Jewish,0.44
178,93,88,Male,Brown,Brown,O-,physiological diseases,Korean,0.49
182,72,27,Male,Brown,Brown,B-,Hereditary Diseases Genetic,Thai,0.42
165,73,65,Female,Blond,Green,O-,Hereditary Diseases Non-Genetic,Thai,0.34
176,87,16,Male,Brown,Brown,O+,Deficiency Diseases,Tongan,0.52
172,68,28,Male,Blond,Brown,O+,Too Healthy,Xhosa,0.36
193,104,45,Female,Black,Black,O-,physiological diseases,Roma,0.51
167,103,32,Male,Black,Green,AB+,Hereditary Diseases Genetic,Norwegian,0.52
167,93,49,Male,Blond,Blue,A-,physiological diseases,Tongan,0.36
168,81,33,Female,Brown,Green,B+,physiological diseases,Arab,0.45
174,69,56,Female,Brown,Black,A+,O-,Afro-Brazilian,0.46
167,86,43,Male,Brown,Brown,AB-,Infectious Disease,Hutu,0.47
186,79,76,Female,Brown,Black,O+,Infectious Disease,Swedish,0.41
189,86,85,Male,Brown,Brown,O+,Healthy,Irish,0.53
180,90,43,Female,Black,Blue,O+,physiological diseases,Persian,0.48
172,82,62,Male,White,Brown,B+,physiological diseases,Tamil,0.4
189,86,18,Female,Blond,Blue,AB+,O-,Vietnamese,0.41
182,66,73,Male,Blond,Brown,AB-,Hereditary Diseases Non-Genetic,White Latin American,0.31
179,71,89,Male,Black,Black,B+,Too Healthy,Igbo,0.37
171,91,82,Female,Brown,Green,AB+,Too Healthy,Hausa,0.31
176,100,18,Female,Blond,Black,A+,O-,Hutu,0.53
188,81,16,Female,Brown,Blue,O-,Hereditary Diseases Non-Genetic,French,0.49
169,97,52,Male,Blond,Green,B-,Infectious Disease,Aboriginal Australian,0.33
181,86,39,Female,Brown,Green,AB+,Hereditary Diseases Genetic,Turkish,0.45
169,76,29,Male,Brown,Black,AB-,Deficiency Diseases,Gujarati,0.43
182,107,73,Female,Black,Brown,O+,Hereditary Diseases Genetic,Mapuche,0.56
173,86,90,Male,Blond,Brown,O+,Too Healthy,Mongolian,0.38
166,108,70,Male,Black,Black,AB-,physiological diseases,Thai,0.49
179,96,60,Female,Black,Green,A-,Hereditary Diseases Non-Genetic,Malay,0.52
181,96,62,Female,Brown,Brown,AB+,physiological diseases,Gujarati,0.49
173,88,25,Female,White,Black,O+,Deficiency Diseases,White Latin American,0.34
172,87,58,Female,Black,Brown,A-,Hereditary Diseases Non-Genetic,Zulu,0.56
187,79,54,Male,Brown,Blue,O-,Infectious Disease,Polish,0.47
169,100,59,Female,Black,Green,A+,Hereditary Diseases Non-Genetic,Sephardic Jewish,0.42
165,103,49,Female,White,Green,AB-,Hereditary Diseases Non-Genetic,Hutu,0.32
191,79,52,Female,Black,Brown,AB-,Hereditary Diseases Genetic,Cherokee,0.56
189,98,17,Male,Brown,Black,AB-,Healthy,Bengali,0.54
179,109,17,Female,Black,Blue,A-,physiological diseases,Hutu,0.32
186,66,69,Male,Blond,Black,B+,Hereditary Diseases Non-Genetic,Somali,0.47
191,96,89,Female,Brown,Black,O-,Healthy,Mongolian,0.54
172,78,78,Female,Brown,Brown,O+,physiological diseases,Turkish,0.44
183,101,84,Female,Blond,Blue,A+,Too Healthy,Hazara,0.44
169,79,88,Female,Blond,Green,A+,Hereditary Diseases Genetic,Samoan,0.36
192,70,47,Female,Black,Blue,A+,physiological diseases,Malay,0.51
178,89,30,Male,Brown,Brown,O+,physiological diseases,Afro-Brazilian,0.53
193,68,59,Female,Black,Green,AB-,Hereditary Diseases Non-Genetic,Mapuche,0.42
166,65,36,Male,White,Blue,B+,Too Healthy,British,0.42
166,74,60,Female,Black,Black,B-,Infectious Disease,Uyghur,0.45
176,76,19,Female,Blond,Green,B-,Hereditary Diseases Genetic,Tajik,0.43
179,83,86,Male,White,Black,A+,Too Healthy,Roma,0.34
170,73,61,Male,Black,Blue,B+,Too Healthy,Mongolian,0.41
176,85,74,Male,Black,Black,A-,Healthy,Thai,0.42
178,66,43,Male,White,Blue,B+,physiological diseases,Spanish,0.51
179,83,87,Female,Brown,Green,A-,O-,Thai,0.45
176,108,84,Female,Blond,Brown,O+,Hereditary Diseases Genetic,Hazara,0.39
189,93,84,Male,Blond,Blue,AB+,Hereditary Diseases Genetic,Papua New Guinean,0.37
189,71,51,Female,Blond,Blue,B-,Too Healthy,Igbo,0.39
192,70,71,Male,Blond,Black,B-,Healthy,Sindhi,0.4
172,65,31,Male,White,Blue,A+,Hereditary Diseases Genetic,British,0.42
182,89,82,Male,Brown,Blue,O-,O-,German,0.34
176,67,89,Male,Brown,Brown,O-,Hereditary Diseases Genetic,Afro-Colombian,0.33
176,80,57,Female,Blond,Brown,AB-,Hereditary Diseases Non-Genetic,Spanish,0.32
173,76,60,Female,Brown,Brown,AB-,Hereditary Diseases Genetic,Mestizo,0.43
187,86,29,Female,Brown,Black,AB-,Healthy,Italian,0.35
166,104,22,Female,Brown,Green,A-,Too Healthy,Aymara,0.47
170,89,38,Male,White,Brown,B-,Too Healthy,Spanish,0.36
172,106,21,Female,Black,Black,A-,Infectious Disease,Italian,0.56
181,83,77,Female,White,Blue,B-,physiological diseases,European American,0.45
175,73,22,Male,Blond,Black,A-,physiological diseases,Cherokee,0.54
183,73,34,Male,Blond,Green,B+,Hereditary Diseases Non-Genetic,Hawaiian,0.4
167,75,64,Female,White,Brown,B+,Too Healthy,Korean,0.35
165,102,90,Male,White,Black,B-,Healthy,Vietnamese,0.39
193,104,21,Female,Brown,Blue,O-,Deficiency Diseases,Irish,0.3
172,93,61,Female,Brown,Black,O-,O-,Arab (Middle Eastern),0.56
169,107,31,Female,Brown,Green,O+,Healthy,Japanese,0.45
183,68,83,Female,Brown,Brown,O-,Infectious Disease,Micronesian,0.53
172,99,57,Male,Brown,Brown,B+,Healthy,Afro-Brazilian,0.54
191,69,86,Female,Black,Brown,O+,O-,Punjabi,0.32
182,86,49,Male,White,Brown,AB-,Hereditary Diseases Non-Genetic,White American,0.4
177,93,48,Male,White,Brown,B-,Too Healthy,Japanese,0.36
187,93,51,Female,Black,Green,O+,Hereditary Diseases Non-Genetic,White Latin American,0.44
192,98,85,Female,Blond,Blue,O+,Too Healthy,Arab (Middle Eastern),0.45
175,94,23,Female,White,Brown,A-,Hereditary Diseases Non-Genetic,Indigenous South American,0.37
180,92,71,Female,Black,Black,AB+,Hereditary Diseases Non-Genetic,Afro-Colombian,0.47
191,77,21,Female,White,Black,B-,Hereditary Diseases Genetic,English,0.32
188,69,33,Female,Blond,Blue,B-,Hereditary Diseases Non-Genetic,Navajo,0.33
179,65,58,Female,Black,Green,A-,Too Healthy,European American,0.55
186,75,88,Female,Black,Brown,O+,Too Healthy,Persian,0.35
194,81,63,Male,Brown,Blue,AB-,Healthy,British,0.55
170,109,25,Male,Blond,Black,A+,Healthy,Oromo,0.34
176,90,50,Male,White,Brown,AB+,Healthy,Italian,0.39
176,83,63,Male,Brown,Black,O+,Healthy,Irish,0.32
192,79,32,Female,Brown,Blue,AB-,Infectious Disease,Arab (Middle Eastern),0.37
189,107,86,Male,Black,Green,AB+,Healthy,Indigenous South American,0.49
173,92,68,Female,Black,Black,AB+,Hereditary Diseases Non-Genetic,White Latin American,0.43
165,110,66,Female,Blond,Blue,B+,Too Healthy,Tibetan,0.36
194,72,50,Female,Black,Brown,A+,O-,Irish,0.55
178,91,68,Female,Brown,Blue,O+,physiological diseases,Papua New Guinean,0.32
193,90,24,Male,Blond,Blue,B+,Too Healthy,Aboriginal Australian,0.44
189,74,42,Female,Black,Green,B-,Too Healthy,White American,0.33
179,88,41,Female,Black,Black,O+,physiological diseases,Han Chinese,0.55
179,96,71,Male,White,Brown,A-,Infectious Disease,French,0.42
176,66,77,Male,White,Black,AB-,Hereditary Diseases Genetic,Arab,0.39
183,90,87,Female,White,Black,AB-,O-,Irish,0.48
194,69,76,Male,White,Black,O-,Too Healthy,Quechua,0.37
190,103,34,Female,White,Black,A-,Deficiency Diseases,Papua New Guinean,0.5
187,68,45,Male,Blond,Green,O-,Too Healthy,Turkish,0.39
181,93,71,Female,White,Black,B-,Healthy,English,0.36
185,103,87,Female,White,Brown,B-,Hereditary Diseases Non-Genetic,Mapuche,0.44
191,85,60,Female,White,Brown,AB-,Hereditary Diseases Non-Genetic,Thai,0.3
171,78,55,Male,Blond,Green,B+,Too Healthy,African American,0.38
182,69,54,Male,Black,Blue,AB+,O-,Tajik,0.34
185,93,65,Female,White,Black,O+,Hereditary Diseases Genetic,Aymara,0.4
180,92,25,Male,Brown,Brown,AB-,Hereditary Diseases Non-Genetic,Hausa,0.56
179,73,31,Male,White,Brown,A+,Infectious Disease,Serbian,0.47
175,98,24,Male,Brown,Brown,A-,Infectious Disease,Yoruba,0.41
183,110,66,Male,Black,Blue,O-,Deficiency Diseases,Aboriginal Australian,0.44
186,72,83,Male,Blond,Black,AB+,Deficiency Diseases,Native American,0.55
169,97,40,Male,Blond,Blue,B+,physiological diseases,Czech,0.33
191,71,90,Female,Blond,Brown,A+,physiological diseases,Russian,0.48
178,97,57,Female,Brown,Brown,B-,Hereditary Diseases Non-Genetic,Amhara,0.34
184,69,19,Female,Black,Blue,A-,Healthy,Turkish,0.42
180,105,52,Male,Brown,Brown,AB+,Too Healthy,Hispanic,0.56
184,71,38,Male,White,Blue,A-,O-,Native American,0.33
